,ID,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category
5564,5565,003117491.jpg,366,266,364,284,381,193,434,193,457,283,457,258,408,193,411,110,414.4847,90.6405,398.5153,179.3595,398,246,354,193,351,116,470,103,492,135,471,175,2.7043431734896366,"laying tile or linoleum,repairing appliances",home repair
5565,5566,087019669.jpg,374,263,364,276,385,182,447,177,452,279,425,264,416,180,392,160,392.0,136.239,392.0,232.761,393,212,341,208,336,186,448,134,493,119,446,184,2.8956574383030875,"laying tile or linoleum,repairing appliances",home repair
5566,5567,013865253.jpg,695,400,722,439,717,309,788,307,881,355,828,416,753,308,735,163,736.2213,157.8331,759.7787,58.1669,643,346,635,250,662,157,807,169,836,237,865,294,3.0723749771146096,"laying tile or linoleum,repairing appliances",home repair
5567,5568,012731188.jpg,639,428,647,413,645,317,736,286,812,349,855,489,691,302,666,287,689.78,318.097,629.22,238.903,571,412,534,338,584,292,747,281,745,367,699,453,2.990866095297481,"laying tile or linoleum,repairing appliances",home repair
5568,5569,017567230.jpg,587,365,593,430,583,330,660,319,673,420,660,355,622,325,631,392,626.2713,367.9625,647.7287,477.0375,506,633,497,524,562,413,700,370,692,468,675,573,3.334963867870235,"laying tile or linoleum,repairing appliances",home repair
5569,5570,096026636.jpg,639,312,599,386,636,283,718,282,745,391,721,309,677,283,686,139,684.9772,120.5899,680.0228,31.4101,596,234,585,203,620,136,752,142,780,206,774,243,2.6795223454936887,"laying tile or linoleum,repairing appliances",home repair
5570,5571,069316936.jpg,615,320,604,399,661,304,717,309,742,384,751,323,689,307,687,165,684.2377,138.6659,674.7623,48.3341,589,242,565,213,613,160,761,169,785,221,759,253,2.7248192600611145,"laying tile or linoleum,repairing appliances",home repair
5571,5572,080137154.jpg,650,310,602,376,637,290,722,286,741,378,724,307,680,288,681,145,679.7,124.6871,674.3,40.3129,594,264,571,192,624,144,738,145,791,211,764,288,2.5364037533484294,"laying tile or linoleum,repairing appliances",home repair
5572,5573,039763499.jpg,253,379,375,396,212,251,319,235,520,160,520,359,266,243,401,109,449.0001,90.4,592.9999,34.6,441,353,299,280,357,133,444,84,485,185,553,301,4.632994711846755,"laying tile or linoleum,repairing appliances",home repair
5573,5574,033631273.jpg,-1,-1,-1,-1,475,599,377,590,-1,-1,-1,-1,426,595,478,271,482.0059,222.5482,494.9941,65.4518,698,152,690,257,561,266,394,276,590,253,625,171,4.728974518857127,"laying tile or linoleum,repairing appliances",home repair
5574,5575,023448401.jpg,-1,-1,-1,-1,865,519,903,534,-1,-1,-1,-1,884,527,899,202,892.6754,191.5317,818.3246,68.4683,814,358,882,348,888,204,909,200,899,394,774,396,4.313394950616045,"laying tile or linoleum,repairing appliances",home repair
5575,5576,048064803.jpg,286,388,284,324,288,257,402,270,588,208,495,369,345,264,419,119,407.4257,124.5116,556.5743,53.4884,371,322,247,214,313,88,524,150,555,315,601,477,4.9558692476698765,"laying tile or linoleum,repairing appliances",home repair
5576,5577,001485612.jpg,145,456,31,423,102,317,182,298,323,301,198,410,142,308,155,203,111.4478,207.3552,248.5522,193.6448,182,436,52,391,59,214,251,192,310,290,355,384,4.1336472999035605,"laying tile or linoleum,repairing appliances",home repair
5577,5578,048112569.jpg,686,418,598,468,651,383,692,378,765,367,716,487,672,381,665,247,663.7817,243.3809,632.2183,149.6191,617,359,595,333,601,258,728,235,766,320,704,346,2.967956873002032,"laying tile or linoleum,repairing appliances",home repair
5578,5579,033336784.jpg,669,430,530,359,669,309,738,347,810,474,723,333,704,328,750,261,758.7784,267.4647,870.2216,349.5353,744,534,655,424,677,263,822,259,814,410,810,534,4.152069363582454,"laying tile or linoleum,repairing appliances",home repair
5579,5580,044912341.jpg,975,334,863,315,975,305,954,290,820,359,981,369,965,298,794,158,780.9061,156.6174,646.0939,142.3826,714,278,727,202,770,96,818,220,828,357,776,398,4.066849394801829,"laying tile or linoleum,repairing appliances",home repair
5580,5581,057066458.jpg,747,369,617,437,683,305,783,262,872,193,768,425,733,284,638,94,681.1602,110.7072,532.8398,53.2928,516,421,508,249,535,119,741,69,826,255,805,437,4.771354524660685,"laying tile or linoleum,repairing appliances",home repair
5581,5582,043558916.jpg,986,403,828,404,971,331,980,362,839,324,845,447,976,347,-1,-1,-1.0,-1.0,-1.0,-1.0,724,377,760,333,797,280,-1,-1,865,289,894,395,3.29788295729245,"laying tile or linoleum,repairing appliances",home repair
5582,5583,041484685.jpg,227,584,403,566,372,436,355,372,320,504,128,552,364,404,650,364,653.1023,362.8068,763.8977,320.1932,865,552,782,510,685,428,615,300,596,376,658,413,3.5612312477568766,"laying tile or linoleum,repairing appliances",home repair
5583,5584,073272342.jpg,-1,-1,135,420,138,345,189,348,194,417,-1,-1,164,347,150,175,156.3368,162.5904,191.6632,93.4096,97,319,89,250,119,172,181,178,189,254,237,262,2.330349330036164,"laying tile or linoleum,repairing appliances",home repair
5584,5585,068587628.jpg,-1,-1,-1,-1,586,376,596,384,-1,-1,-1,-1,591,380,588,160,578.3824,145.3064,525.6176,64.6936,557,356,582,264,571,159,604,160,598,277,572,362,2.8903812897263226,"laying tile or linoleum,repairing appliances",home repair
5585,5586,083327128.jpg,231,350,230,242,152,218,189,223,190,323,184,395,171,221,200,133,201.1511,131.9106,254.8489,81.0894,269,227,217,219,192,137,207,128,258,155,306,161,2.2180207393079083,"laying tile or linoleum,repairing appliances",home repair
5586,5587,024995898.jpg,-1,-1,234,336,215,245,183,238,189,326,-1,-1,199,242,256,127,265.0933,120.7243,317.9067,84.2757,327,224,292,208,269,156,243,98,283,80,330,97,1.9250932444949256,"laying tile or linoleum,repairing appliances",home repair
5587,5588,060952851.jpg,-1,-1,124,426,99,322,123,322,135,418,-1,-1,111,322,125,167,128.6389,160.5739,168.3611,90.4261,170,302,111,270,120,173,130,160,140,233,172,257,2.418409394622837,"laying tile or linoleum,repairing appliances",home repair
5588,5589,058519479.jpg,-1,-1,-1,-1,151,331,178,325,-1,-1,-1,-1,165,328,164,169,168.1761,143.5258,179.8239,72.4742,207,248,139,246,123,168,204,170,225,247,290,250,2.16,"laying tile or linoleum,repairing appliances",home repair
5589,5590,036973781.jpg,-1,-1,-1,-1,234,400,268,398,-1,-1,-1,-1,251,399,289,284,290.4655,282.8765,347.5345,239.1235,317,419,290,358,299,279,279,288,299,386,361,390,2.157331685207446,"laying tile or linoleum,repairing appliances",home repair
5590,5591,048605754.jpg,-1,-1,-1,-1,237,419,212,415,-1,-1,-1,-1,225,417,294,312,299.7601,293.4597,320.2399,227.5403,385,382,353,382,317,309,271,314,297,390,340,398,2.070825922186604,"laying tile or linoleum,repairing appliances",home repair
5591,5592,031378214.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,263,328,266.6394,318.1602,286.3606,264.8398,392,313,358,335,290,344,236,311,321,289,359,269,1.7055204484262274,"laying tile or linoleum,repairing appliances",home repair
5592,5593,014184440.jpg,-1,-1,-1,-1,209,331,258,331,-1,-1,-1,-1,234,331,334,267,349.7077,261.4263,442.2923,228.5737,340,413,261,373,308,280,359,253,332,342,374,413,2.94721563513768,"laying tile or linoleum,repairing appliances",home repair
5593,5594,021380121.jpg,-1,-1,-1,-1,265,324,291,323,-1,-1,-1,-1,278,324,307,177,307.1664,158.3616,307.8336,83.6384,352,297,266,275,293,185,321,169,357,157,413,132,2.2417850030723288,"laying tile or linoleum,repairing appliances",home repair
5594,5595,072967841.jpg,856,871,802,788,849,639,787,639,738,782,758,902,818,639,822,526,820.3369,497.2513,816.6631,433.7487,970,554,916,579,854,527,789,525,715,593,649,583,1.908264132660885,"skiing, downhill",winter activities
5595,5596,005204584.jpg,669,889,667,783,688,612,806,626,792,788,780,927,747,619,795,306,786.0929,238.9349,769.9071,117.0651,585,302,602,376,696,297,893,314,934,441,989,398,3.688199560761321,"skiing, downhill",winter activities
5596,5597,088424517.jpg,1063,509,1041,406,1018,323,961,323,974,383,944,505,990,323,1042,216,1048.0328,203.482,1075.9672,145.518,1145,355,1108,301,1089,227,995,205,928,231,917,288,1.9303222528893975,ski jumping,winter activities
5597,5598,086267516.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1019,612,1044.8497,548.4016,1119.1503,365.5984,727,686,854,624,966,538,1071,686,956,888,792,947,5.919783779835207,"skiing, downhill",winter activities
5598,5599,044332032.jpg,830,887,819,782,709,631,656,624,740,757,761,887,683,628,729,377,747.503,330.7425,788.497,228.2575,893,550,814,487,770,364,688,389,707,485,702,561,3.3113912484030035,"skiing, downhill",winter activities
5599,5600,058586305.jpg,945,646,943,534,984,457,1064,471,1083,570,1141,672,1024,464,947,326,948.1101,325.6362,826.8899,365.3638,928,340,901,260,901,297,993,355,1025,437,972,425,3.8269277495139615,ski jumping,winter activities
5600,5601,097607833.jpg,1073,945,1133,824,1140,771,1212,793,1176,849,1151,945,1176,782,1192,630,1183.9319,593.9624,1170.0681,532.0376,1268,739,1268,679,1254,638,1129,621,1122,672,1189,694,1.9037310734449864,ski jumping,winter activities
5601,5602,090532183.jpg,897,605,793,626,855,541,831,554,752,630,874,665,843,548,727,444,740.1365,447.1277,671.8635,430.8723,890,422,800,426,752,436,701,451,657,453,688,539,2.1054443711482858,ski jumping,winter activities
5602,5603,008303876.jpg,1224,643,1215,587,1267,565,1258,559,1201,584,1172,653,1263,562,1227,503,1224.6396,499.5815,1200.3604,464.4185,1215,551,1244,549,1225,503,1228,502,1270,525,1286,556,1.2819235546630694,"skiing, downhill",winter activities
5603,5604,019105187.jpg,1257,565,1230,435,1238,399,1159,401,1025,391,1001,533,1199,400,1161,254,1181.8387,285.258,1132.1613,210.742,1307,320,1251,307,1224,247,1098,261,1021,245,934,212,2.686713978078054,ski jumping,winter activities
5604,5605,044075494.jpg,1236,883,1208,819,1179,766,1126,775,1130,834,1128,894,1153,771,1140,641,1141.6222,627.1373,1149.3778,560.8627,1232,762,1234,702,1186,638,1093,643,1060,715,1093,779,2.001807183521929,ski jumping,winter activities
5605,5606,058475681.jpg,1042,746,1042,712,1032,663,996,663,1018,712,1013,743,1014,663,1012,585,1016.7833,575.4334,1038.2167,532.5666,1059,627,1029,625,1029,591,994,579,993,627,1032,637,1.4377983168720152,ski jumping,winter activities
5606,5607,081622785.jpg,460,379,415,561,468,711,484,369,345,451,352,638,527,345,332,216,291.0,188.0,178.0,111.0,335,374,357,290,292,215,371,217,509,258,600,343,4.118500698069626,"skiing, climbing up",winter activities
5607,5608,098826212.jpg,1310,954,1286,797,1252,667,1322,658,1380,800,1389,937,1287,663,1285,535,1293.5556,551.0418,1252.4444,473.9582,1093,434,1151,477,1223,528,1346,542,1425,581,1464,641,2.620839560140986,ski jumping,winter activities
5608,5609,038885150.jpg,887,98,959,142,885,208,833,216,827,140,734,106,859,212,908,278,922.7403,269.538,1001.2597,224.462,1028,146,1014,224,972,289,843,266,754,190,698,89,2.7161384353526605,ski jumping,winter activities
5609,5610,004741564.jpg,1202,783,1117,808,1041,829,1052,866,1128,864,1197,841,1047,848,936,854,913.8507,852.9195,835.1493,849.0805,1003,832,953,845,918,822,953,885,974,912,994,885,2.363847710830797,"skiing, downhill",winter activities
5610,5611,060438072.jpg,682,665,667,593,701,494,732,499,636,619,672,744,717,497,599,338,576.1911,319.4042,464.8089,228.5958,482,383,573,347,607,331,590,345,674,439,559,456,4.311257821100474,"skiing, downhill",winter activities
5611,5612,019854286.jpg,314,679,318,537,442,495,466,521,339,583,346,715,454,508,527,354,521.0,325.0,505.0,244.0,402,429,455,437,479,349,575,359,626,432,570,413,2.449999183673333,"skiing, downhill",winter activities
5612,5613,049482846.jpg,744,477,754,400,726,318,688,291,691,346,679,400,707,305,715,123,745.7848,94.7235,819.2152,27.2765,795,186,761,230,723,139,707,106,723,220,772,276,2.991154960880496,snowboarding,winter activities
5613,5614,074231025.jpg,783,445,740,389,742,269,706,264,660,360,655,427,724,267,700,194,699.3091,193.8303,643.6909,180.1697,671,240,706,218,714,201,686,186,668,214,631,230,1.7181385275931624,snowboarding,winter activities
5614,5615,077041179.jpg,270,601,267,517,312,476,335,482,293,546,307,652,324,479,335,379,332.2023,359.8156,323.7977,302.1844,261,400,306,410,330,381,339,376,352,432,320,445,1.7472263734273243,"skiing, downhill",winter activities
5615,5616,049961841.jpg,678,776,646,688,651,535,693,528,680,661,696,794,672,532,650,400,647.0829,391.9156,617.9171,311.0844,543,472,570,440,603,406,696,393,759,442,783,537,2.5779619857554144,"skiing, downhill",winter activities
5616,5617,030521453.jpg,866,546,825,521,816,441,864,428,850,510,859,617,840,435,818,361,815.4066,315.4719,811.5934,248.5281,788,320,774,360,761,394,875,327,912,378,918,428,2.011566553708825,"skiing, downhill",winter activities
5617,5618,097374258.jpg,896,689,872,542,875,402,929,396,954,534,980,676,902,399,894,251,891.108,243.5999,862.892,171.4001,782,282,786,309,845,255,942,247,1004,297,982,292,2.325524456977394,"skiing, downhill",winter activities
5618,5619,066336261.jpg,309,727,317,598,313,499,350,493,378,604,368,725,332,496,339,351,339.7507,342.6486,346.2493,270.3514,271,459,253,418,301,346,376,356,408,418,432,451,2.177661130662896,"skiing, downhill",winter activities
5619,5620,012693606.jpg,-1,-1,-1,-1,1130,1018,-1,-1,-1,-1,-1,-1,-1,-1,1335,564,1328.4367,462.2685,1309.5633,169.7315,801,863,994,745,1177,503,1493,624,1639,869,1859,984,8.794354552779867,"skiing, downhill",winter activities
5620,5621,093361538.jpg,940,934,894,725,832,557,942,576,966,742,986,884,887,567,965,363,984.9231,336.9714,1069.0769,227.0286,752,504,800,436,889,340,1041,386,1055,533,1120,624,4.153595069334516,"skiing, downhill",winter activities
5621,5622,086735464.jpg,859,821,823,595,905,501,989,504,953,655,1040,826,947,503,949,331,937.8407,305.0106,884.1593,179.9894,766,487,804,441,857,335,1040,326,1069,398,1071,511,4.081764324406787,"skiing, downhill",winter activities
5622,5623,023360903.jpg,-1,-1,-1,-1,1136,1040,1276,1077,-1,-1,-1,-1,1206,1059,1369,564,1357.2727,469.989,1319.7273,169.011,863,696,1025,742,1195,510,1543,618,1698,863,1831,932,9.099323930930252,"skiing, downhill",winter activities
5623,5624,077837190.jpg,617,437,602,353,634,273,614,279,584,353,599,445,624,276,562,211,556.7573,204.0097,528.2427,165.9903,557,283,551,238,541,214,582,208,609,236,632,260,1.425729287066798,"skiing, cross-country, biathlon, skating technique",winter activities
5624,5625,060857159.jpg,593,454,601,372,606,301,627,304,626,370,638,456,617,303,612,226,610.5925,244.2976,614.4075,194.7024,564,233,566,260,590,227,633,224,663,247,668,243,1.4922519894441424,"skiing, cross-country, biathlon, skating technique",winter activities
5625,5626,097090471.jpg,636,503,618,403,658,290,665,285,621,405,653,525,662,288,557,202,539.2696,186.7481,481.7304,137.2519,597,343,596,270,556,201,557,203,591,277,596,347,2.276966402914193,"skiing, cross-country, biathlon, skating technique",winter activities
5626,5627,037360566.jpg,600,443,599,378,607,302,627,302,636,367,641,458,617,302,618,214,617.268,227.9077,619.732,181.0923,569,217,564,244,594,214,641,214,678,240,669,222,1.4064081911024269,"skiing, cross-country, biathlon, skating technique",winter activities
5627,5628,068146061.jpg,625,530,604,420,666,325,682,319,614,428,644,543,674,322,548,286,542.3085,284.6971,470.6915,268.3029,602,392,602,344,541,280,554,291,636,352,631,420,2.2040834829924205,"skiing, cross-country, biathlon, skating technique",winter activities
5628,5629,006353572.jpg,-1,-1,667,642,669,465,740,469,777,629,-1,-1,705,467,695,268,696.8163,225.4171,702.1837,99.5829,640,492,603,399,624,279,765,256,831,366,831,482,3.778456827859755,"skiing, downhill",winter activities
5629,5630,096381766.jpg,132,370,107,337,97,300,79,299,71,342,73,391,88,300,79,219,77.2475,200.2229,73.7525,162.7771,56,274,67,245,71,213,87,224,94,247,100,288,1.128255290260143,"skiing, downhill",winter activities
5630,5631,053898087.jpg,987,592,925,518,810,402,874,332,1020,413,1085,543,842,367,626,169,610.2845,144.6338,532.7155,24.3662,609,431,563,363,553,241,698,96,799,78,880,30,4.293384678781997,"skiing, downhill",winter activities
5631,5632,028787950.jpg,412,655,419,562,398,493,438,482,451,551,448,628,418,488,415,358,417.7545,337.871,425.2455,283.129,414,479,388,437,390,360,440,355,443,415,468,445,1.6575644783838726,"skiing, general",winter activities
5632,5633,012027096.jpg,748,671,738,605,703,481,781,454,822,575,879,703,742,468,679,265,677.2274,270.1261,717.7726,152.8739,636,448,613,365,613,279,744,250,781,318,805,401,3.721934980624997,"skiing, downhill",winter activities
5633,5634,070352834.jpg,-1,-1,644,689,625,515,721,508,727,676,-1,-1,673,512,655,323,651.037,301.2721,629.963,185.7279,617,515,585,472,604,341,706,305,706,421,752,491,3.5235073435427937,"skiing, downhill",winter activities
5634,5635,064485604.jpg,685,659,670,612,645,515,721,484,748,599,801,653,683,500,684,249,687.6973,227.2125,708.3027,105.7875,599,434,572,374,601,252,767,246,785,366,845,457,3.694830983955829,"skiing, downhill",winter activities
5635,5636,037393871.jpg,537,684,506,667,526,607,466,611,462,667,471,706,496,609,481,487,483.3722,456.4247,487.6278,401.5753,551,591,543,552,525,489,437,485,419,558,460,571,1.6504253997076024,"skiing, downhill",winter activities
5636,5637,037631182.jpg,710,692,681,588,690,353,801,350,793,568,774,710,746,352,715,142,730.2164,157.878,630.7836,54.122,625,307,597,249,632,154,797,129,863,241,880,355,4.311257821100474,"maple syrupingsugar bushing (including carrying buckets, carrying wood)",home activities
